date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:17	75599/75599	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2008:27:17%20GMT	https://iitk.ac.in/aero/	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/index.html	(from )
13:57:17	269/269	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2008:27:18%20GMT	https://iitk.ac.in/robots.txt		(from )
13:57:18	82982/82982	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221e1870-14426-5ae3b369b3c80%22	https://iitk.ac.in/aero/templates/iit-kanpur/favicon.ico	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/favicon.ico	(from https://iitk.ac.in/aero/)
13:57:19	628/628	---M--	200	added ('OK')	application/rss+xml	date:Fri,%2011%20Nov%202022%2008:27:20%20GMT	https://iitk.ac.in/aero/?format=feed&type=rss	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/indexc0d0.html	(from https://iitk.ac.in/aero/)
13:57:19	626/626	---M--	200	added ('OK')	application/atom+xml	date:Fri,%2011%20Nov%202022%2008:27:20%20GMT	https://iitk.ac.in/aero/?format=feed&type=atom	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/index7b17.html	(from https://iitk.ac.in/aero/)
13:57:19	75603/75603	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2008:27:20%20GMT	https://iitk.ac.in/aero/?view=featured	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/indexc374.html	(from https://iitk.ac.in/aero/)
13:57:20	613/613	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Fri,%2011%20Nov%202022%2008:27:21%20GMT	https://iitk.ac.in/aero/component/search/?format=opensearch	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/component/search/indexf758.html	(from https://iitk.ac.in/aero/)
13:57:20	159515/159515	---M--	200	added ('OK')	text/css	etag:%221e1865-26f1b-5ae3b369b3c80%22	https://iitk.ac.in/aero/templates/iit-kanpur/css/bootstrap.min.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/css/bootstrap.min.css	(from https://iitk.ac.in/aero/)
13:57:20	31000/31000	---M--	200	added ('OK')	text/css	etag:%221e1868-7918-5ae3b369b3c80%22	https://iitk.ac.in/aero/templates/iit-kanpur/css/font-awesome.min.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/css/font-awesome.min.css	(from https://iitk.ac.in/aero/)
13:57:21	3837/3837	---M--	200	added ('OK')	text/css	etag:%221e1866-efd-5ae3b369b3c80%22	https://iitk.ac.in/aero/templates/iit-kanpur/css/datatables.min.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/css/datatables.min.css	(from https://iitk.ac.in/aero/)
13:57:22	29346/29346	---M--	200	added ('OK')	text/css	etag:%221e186e-72a2-5ba3f9d297880%22	https://iitk.ac.in/aero/templates/iit-kanpur/css/template.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/css/template.css	(from https://iitk.ac.in/aero/)
13:57:23	77907/77907	---M--	200	added ('OK')	text/css	etag:%221e1864-13053-5ae3b369b3c80%22	https://iitk.ac.in/aero/templates/iit-kanpur/css/animate.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/css/animate.css	(from https://iitk.ac.in/aero/)
13:57:23	2466/2466	---M--	200	added ('OK')	text/css	etag:%221e2c1d-9a2-5b4fddaac3e00%22	https://iitk.ac.in/aero/modules/mod_je_social/css/style.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_je_social/css/style.css	(from https://iitk.ac.in/aero/)
13:57:24	22423/22423	---M--	200	added ('OK')	text/css	etag:%2220308f-5797-5bb8280498e00%22	https://iitk.ac.in/aero/media/com_sliderck/assets/swiper.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/media/com_sliderck/assets/swiper.css	(from https://iitk.ac.in/aero/)
13:57:24	5817/5817	---M--	200	added ('OK')	text/css	etag:%221e2c3e-16b9-5b94fb132ba80%22	https://iitk.ac.in/aero/modules/mod_jm_simple_tabs/assets/default.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_jm_simple_tabs/assets/default.css	(from https://iitk.ac.in/aero/)
13:57:25	26841/26841	---M--	200	added ('OK')	text/css	etag:%221e2d9d-68d9-5b4741067d700%22	https://iitk.ac.in/aero/modules/mod_slideshowck/themes/default/css/camera.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_slideshowck/themes/default/css/camera.css	(from https://iitk.ac.in/aero/)
13:57:27	2393/2393	---M--	200	added ('OK')	text/css	etag:%221e2d34-959-5b486d9e78780%22	https://iitk.ac.in/aero/modules/mod_sj_flat_menu/assets/css/styles-responsive.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_sj_flat_menu/assets/css/styles-responsive.css	(from https://iitk.ac.in/aero/)
13:57:29	2999/2999	---M--	200	added ('OK')	text/css	etag:%221e2d35-bb7-5b486f941a700%22	https://iitk.ac.in/aero/modules/mod_sj_flat_menu/assets/css/styles.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_sj_flat_menu/assets/css/styles.css	(from https://iitk.ac.in/aero/)
13:57:32	30419/30419	---M--	200	added ('OK')	text/css	etag:%221e2c66-76d3-5bb82c3e10580%22	https://iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/style.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/style.css	(from https://iitk.ac.in/aero/)
13:57:33	69612/69612	---M--	200	added ('OK')	text/css	etag:%221e2c5a-10fec-5ae3b64bd8a00%22	https://iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/animate.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/animate.css	(from https://iitk.ac.in/aero/)
13:57:33	31337/31337	---M--	200	added ('OK')	text/css	etag:%221e2c5d-7a69-5ae3b64bd8a00%22	https://iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/jux-font-awesome.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/jux-font-awesome.css	(from https://iitk.ac.in/aero/)
13:57:36	3956/3956	---M--	200	added ('OK')	text/css	etag:%221e2c62-f74-5b96842341480%22	https://iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/style/darkblue.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/style/darkblue.css	(from https://iitk.ac.in/aero/)
13:57:36	9659/9659	---M--	200	added ('OK')	text/css	etag:%221e2c71-25bb-5b05d3ccbf580%22	https://iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/stylec/custom-87.css	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/modules/mod_jux_megamenu/assets/css/stylec/custom-87.css	(from https://iitk.ac.in/aero/)
13:58:02	3813/3813	---M--	200	added ('OK')	text/javascript	etag:%22222fa2-ee5-4db40ba9bb880%22	https://iitk.ac.in/aero/media/system/js/core.js	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/media/system/js/core.js	(from https://iitk.ac.in/aero/)
13:58:35	83893/83893	---M--	200	added ('OK')	text/javascript	etag:%22222fa9-147b5-4db40ba9bb880%22	https://iitk.ac.in/aero/media/system/js/mootools-core.js	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/media/system/js/mootools-core.js	(from https://iitk.ac.in/aero/)
13:58:35	729/729	---M--	200	added ('OK')	text/javascript	etag:%22222f9e-2d9-4db40ba9bb880%22	https://iitk.ac.in/aero/media/system/js/caption.js	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/media/system/js/caption.js	(from https://iitk.ac.in/aero/)
13:58:36	93637/93637	---M--	200	added ('OK')	text/javascript	etag:%2220377d-16dc5-4db40ba9bb880%22	https://iitk.ac.in/aero/media/jui/js/jquery.min.js	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/media/jui/js/jquery.min.js	(from https://iitk.ac.in/aero/)
13:58:36	21/21	---M--	200	added ('OK')	text/javascript	etag:%2220377b-15-4db40ba9bb880%22	https://iitk.ac.in/aero/media/jui/js/jquery-noconflict.js	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/media/jui/js/jquery-noconflict.js	(from https://iitk.ac.in/aero/)
13:58:37	88145/88145	---M--	200	added ('OK')	text/javascript	etag:%221e194d-15851-5ae3b369b3c80%22	https://iitk.ac.in/aero/templates/iit-kanpur/js/jquery-3.4.1.js	C:/My%20Web%20Sites/vin26/iitk.ac.in/aero/templates/iit-kanpur/js/jquery-3.4.1.js	(from https://iitk.ac.in/aero/)
